UID,ETAG,DATE,KG,LBS,FLWT,GRFL,GRADE
21SH00397,K5321,2021-02-11,114,251,120,12.0,A
21SH00398,K5322,2021-02-11,86,189,150,15.0,A
21SH00399,K5326,2021-02-11,92,201,150,15.0,A
21SH00400,K5331,2021-02-11,101,221,120,12.0,A
21SH00401,K5334,2021-02-11,81,177,90,9.0,YA
21SH00402,K5336,2021-02-11,75,165,70,7.0,YA
21SH00403,K5339,2021-02-11,69,151,80,8.0,YA
21SH00404,K5341,2021-02-11,71,156,70,7.0,YA
21SH00405,K5343,2021-02-11,60,131,60,6.0,YA
21SH00406,K5346,2021-02-11,64,140,80,8.0,YA
21SH00407,K5348,2021-02-11,56,122,60,6.0,YA
21SH00408,K5350,2021-02-11,83,182,60,6.0,YA
21SH00409,K5354,2021-02-11,68,150,100,10.0,YA
21SH00410,K5356,2021-02-11,80,175,60,6.0,YA
21SH00411,K5357,2021-02-11,76,167,80,8.0,YA
21SH00412,K5360,2021-02-11,81,177,80,8.0,YA
21SH00413,K5362,2021-02-11,60,132,70,7.0,YA
21SH00414,K5363,2021-02-11,78,171,60,6.0,YA
21SH00415,K5364,2021-02-11,77,169,80,8.0,YA
21SH00416,K5365,2021-02-11,82,180,80,8.0,YA
21SH00417,K5369,2021-02-11,59,130,80,8.0,YA
21SH00418,K5370,2021-02-11,66,144,70,7.0,YA
21SH00419,K5377,2021-02-11,53,116,60,6.0,YA
21SH00420,K5382,2021-02-11,68,150,60,6.0,YA
21SH00421,K5384,2021-02-11,70,153,70,7.0,YAA
21SH00422,K5386,2021-02-11,70,154,70,7.0,YA
21SH00423,K5388,2021-02-11,65,143,70,7.0,YA
21SH00424,K5392,2021-02-11,72,158,90,9.0,YA
21SH00425,K5393,2021-02-11,84,185,80,8.0,YA
21SH00426,K5396,2021-02-11,83,183,90,9.0,YA
21SH00427,K5397,2021-02-11,69,152,60,6.0,YA
21SH00428,K5398,2021-02-11,63,138,80,8.0,YA
21SH00429,K5402,2021-02-11,75,164,80,8.0,YA
21SH00430,K5403,2021-02-11,79,174,60,6.0,YA
21SH00431,K5405,2021-02-11,54,119,60,6.0,YA
21SH00432,L1542,2021-02-12,107,235,70,7.0,BF
21SH00433,L1578,2021-02-12,118,259,70,7.0,BF
21SH00434,L1588,2021-02-12,90,197,90,9.0,BF
21SH00435,L1599,2021-02-12,109,239,80,8.0,BF
21SH00436,L1604,2021-02-12,117,256,80,8.0,BF
21SH00437,L1645,2021-02-12,55,120,60,6.0,BF
21SH00438,L1662,2021-02-12,99,217,90,9.0,BF
21SH00439,L1670,2021-02-12,128,281,90,9.0,BF
21SH00440,L1707,2021-02-12,129,283,120,12.0,BF
21SH00441,L1711,2021-02-12,103,226,60,6.0,BF
21SH00442,L1717,2021-02-12,129,283,110,11.0,BF
21SH00443,L1734,2021-02-10,94,207,70,7.0,A4
21SH00444,L1744,2021-02-12,110,242,80,8.0,BF
21SH00445,L1747,2021-02-12,101,222,90,9.0,BF
21SH00446,L1749,2021-02-12,119,261,80,8.0,BF
21SH00447,L1751,2021-02-12,94,207,90,9.0,BF
21SH00448,L1757,2021-02-12,93,205,100,10.0,BF
21SH00449,L1765,2021-02-12,101,222,110,11.0,BF
21SH00450,L1774,2021-02-12,91,199,90,9.0,BF
21SH00451,L1785,2021-02-12,97,213,50,5.0,BF
